# UK TRACK EXCHANGE FORMAT, V1.0
# Lat,Long,DTG,UnitName,CaseNumber,Type,Flag,Sensor,MajorAxis,SemiMajorAxis,SemiMinorAxis,Course,Speed,Depth,Likelihood,Confidence,SuppliedBy,Provenance,InfoCutoffDate,Purpose,Classification,DistributionStatement
22.1827972, -21.75065,19951212T051500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1815389, -21.7539444,19951212T051600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1802444, -21.7571861,19951212T051700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1789556, -21.7604472,19951212T051800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,241.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1776972, -21.7637556,19951212T051900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1764, -21.7670056,19951212T052000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,241.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1751361, -21.7703389,19951212T052100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1738556, -21.7736139,19951212T052200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.17255, -21.7769167,19951212T052300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1712694, -21.7801944,19951212T052400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1699611, -21.7834583,19951212T052500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1686472, -21.7867444,19951212T052600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1673806, -21.7900111,19951212T052700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1660944, -21.7933111,19951212T052800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1648306, -21.7965722,19951212T052900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1635194, -21.7998278,19951212T053000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1622472, -21.8031306,19951212T053100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1609694, -21.8064056,19951212T053200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1596861, -21.8096722,19951212T053300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1584056, -21.8129722,19951212T053400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1571056, -21.8162472,19951212T053500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1558083, -21.8195222,19951212T053600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1545361, -21.8227806,19951212T053700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.2000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1532528, -21.82605,19951212T053800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1519444, -21.8293472,19951212T053900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1506278, -21.8326111,19951212T054000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1493306, -21.8359639,19951212T054100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1480333, -21.8392278,19951212T054200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,239.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1467278, -21.8424861,19951212T054300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1454583, -21.8457972,19951212T054400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.2000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1441639, -21.8490806,19951212T054500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1428833, -21.8523667,19951212T054600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1416083, -21.8556306,19951212T054700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.14035, -21.8588889,19951212T054800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,240.2000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1390528, -21.8621806,19951212T054900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,234.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1375778, -21.8651667,19951212T055000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,188.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1353417, -21.8656583,19951212T055100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,181.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.13295, -21.8657389,19951212T055200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1304778, -21.8657972,19951212T055300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1279806, -21.8658139,19951212T055400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1254167, -21.865875,19951212T055500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,179.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1228417, -21.8658611,19951212T055600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1202556, -21.8659028,19951212T055700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,179.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1176917, -21.8659,19951212T055800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1150861, -21.8659389,19951212T055900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1125056, -21.8659722,19951212T060000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,179.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1099194, -21.8659556,19951212T060100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1073306, -21.8659833,19951212T060200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,179.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1047639, -21.8659722,19951212T060300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1021694, -21.8660194,19951212T060400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0996028, -21.86605,19951212T060500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,180.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0970083, -21.8660806,19951212T060600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,160.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0947028, -21.8649111,19951212T060700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,151.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0925306, -21.8631472,19951212T060800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,149.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0903361, -21.8612833,19951212T060900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,150.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0881222, -21.8594528,19951212T061000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,149.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0858917, -21.8575611,19951212T061100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,150.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0836361, -21.8557,19951212T061200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,149.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0814139, -21.8538167,19951212T061300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,150.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0791861, -21.8519667,19951212T061400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,149.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0769528, -21.8500722,19951212T061500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,150.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.0747444, -21.8482111,19951212T061600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,149.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
